profile_code,assigned_profile
311042.5,Gasoline Vehicle
3110430,Gasoline Vehicle
31104C,Gasoline Vehicle
3110510,Gasoline Vehicle
311052.5,Gasoline Vehicle
3110530,Gasoline Vehicle
31105C,Gasoline Vehicle
3110610,Gasoline Vehicle
311062.5,Gasoline Vehicle
3110630,Gasoline Vehicle
31106C,Gasoline Vehicle
3110710,Gasoline Vehicle
311072.5,Gasoline Vehicle
3110730,Gasoline Vehicle
31107C,Gasoline Vehicle
3110810,Gasoline Vehicle
311082.5,Gasoline Vehicle
3110830,Gasoline Vehicle
31108C,Gasoline Vehicle
3120110,Gasoline Vehicle
312012.5,Gasoline Vehicle
3120130,Gasoline Vehicle
31201C,Gasoline Vehicle
3120210,Gasoline Vehicle
312022.5,Gasoline Vehicle
3120230,Gasoline Vehicle
31202C,Gasoline Vehicle
3120310,Gasoline Vehicle
312032.5,Gasoline Vehicle
3120330,Gasoline Vehicle
31203C,Gasoline Vehicle
3123010,Gasoline Vehicle
312302.5,Gasoline Vehicle
3123030,Gasoline Vehicle
31230C,Gasoline Vehicle
3156,Brake Tire Wear
3157,Brake Tire Wear
3158,Gasoline Vehicle
3190,Coal Combustion
3191,Coal Combustion
3192,Coal Combustion
3193,Coal Combustion
3194,Coal Combustion
3195,Gas Combustion
3196,Soil Dust
3197,Road Dust
3198,Road Dust
3199,Road Dust
3200,Road Dust
3201,Road Dust
3202,Road Dust
3203,Road Dust
3204,Road Dust
3205,Diesel Vehicle
3206,Diesel Vehicle
3207,Diesel Vehicle
3208,Diesel Vehicle
3209,Diesel Vehicle
3210,Diesel Vehicle
3210110,Diesel Vehicle
321012.5,Diesel Vehicle
3210130,Diesel Vehicle
32101C,Diesel Vehicle
3210210,Diesel Vehicle
321022.5,Diesel Vehicle
3210230,Diesel Vehicle
32102C,Diesel Vehicle
3210310,Diesel Vehicle
321032.5,Diesel Vehicle
3210330,Diesel Vehicle
32103C,Diesel Vehicle
3210410,Diesel Vehicle
321042.5,Diesel Vehicle
3210430,Diesel Vehicle
32104C,Diesel Vehicle
3211,Diesel Vehicle
3212,Diesel Vehicle
3213,Gasoline Vehicle
3214,Gasoline Vehicle
3215,Gasoline Vehicle
3216,Gasoline Vehicle
3217,Gasoline Vehicle
3218,Gasoline Vehicle
3219,Diesel Vehicle
3220,Diesel Vehicle
3220210,Diesel Vehicle
322022.5,Diesel Vehicle
3220230,Diesel Vehicle
32202C,Diesel Vehicle
3220310,Diesel Vehicle
322032.5,Diesel Vehicle
3220330,Diesel Vehicle
32203C,Diesel Vehicle
3220410,Diesel Vehicle
322042.5,Diesel Vehicle
3220430,Diesel Vehicle
32204C,Diesel Vehicle
3220510,Diesel Vehicle
322052.5,Diesel Vehicle
3220530,Diesel Vehicle
32205C,Diesel Vehicle
3220610,Diesel Vehicle
322062.5,Diesel Vehicle
3220630,Diesel Vehicle
32206C,Diesel Vehicle
3220710,Diesel Vehicle
322072.5,Diesel Vehicle
3220730,Diesel Vehicle
32207C,Diesel Vehicle
3220810,Diesel Vehicle
322082.5,Diesel Vehicle
3220830,Diesel Vehicle
32208C,Diesel Vehicle
3221,Diesel Vehicle
3222,Gasoline Vehicle
3223,Gasoline Vehicle
3224,Gasoline Vehicle
3225,Gasoline Vehicle
3226,Gasoline Vehicle
3227,Gasoline Vehicle
3228,Gasoline Vehicle
3229,Gasoline Vehicle
3230,Gasoline Vehicle
3231,Industrial
3232,Biomass Burning
3233,Biomass Burning
3234,Biomass Burning
3235,Biomass Burning
3236,Biomass Burning
3237,Biomass Burning
3238,Biomass Burning
3239,Biomass Burning
3240,Biomass Burning
3241,Biomass Burning
3242,Biomass Burning
3243,Biomass Burning
3244,Biomass Burning
3245,Biomass Burning
3246,Biomass Burning
3247,Biomass Burning
3248,Biomass Burning
3249,Biomass Burning
3250,Biomass Burning
3251,Oil Combustion
3252,Oil Combustion
3253,Oil Combustion
3254,Oil Combustion
3255,Oil Combustion
3256,Biomass Burning
3257,Biomass Burning
3258,Biomass Burning
3259,Biomass Burning
3260,Biomass Burning
3261,Road Dust
3262,Road Dust
3263,Road Dust
3264,Road Dust
3265,Road Dust
3266,Diesel Vehicle
3267,Diesel Vehicle
3268,Diesel Vehicle
3270,Diesel Vehicle
3271,Biomass Burning
3272,Biomass Burning
3273,Biomass Burning
3275,Biomass Burning
3276,Biomass Burning
3277,Biomass Burning
3278,Biomass Burning
3280,Biomass Burning
