profile_code,Aluminum,Arsenic,Bromine,Calcium,Chlorine,Chromium,Copper,Elemental Carbon,Elemental carbon I,Elemental carbon II,Elemental carbon III,Iron,Lead,Magnesium,Manganese,Nickel,Nitrate,Nitrite,Organic carbon,Organic carbon I,Organic carbon II,Organic carbon III,Organic carbon IV,Phosphorus,Potassium,Pyrolyzed organic carbon,Rubidium,Selenium,Silicon,Sodium,Strontium,Sulfate,Sulfur,Titanium,Vanadium,Zinc,Zirconium,assigned_profile
4330730,7.083,0.0,0.0,4.211,0.0,0.0,0.0,2.129,0.0,0.0,0.0,4.042,0.0,1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,2.374,0.0,0.0,0.0,27.063,0.839,0.0,0.0,0.216,0.341,0.0,0.0,0.0,Soil Dust
43307C,7.083,0.0,0.0,4.211,0.0,0.0,0.0,2.129,0.0,0.0,0.0,4.042,0.0,1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,2.374,0.0,0.0,0.0,27.063,0.839,0.0,0.0,0.216,0.341,0.0,0.0,0.0,Soil Dust
4330810,8.115,0.0,0.0,3.632,0.0,0.0,0.0,0.027,0.0,0.0,0.0,5.106,0.0,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.598,0.0,0.0,0.0,27.618,2.849,0.0,0.0,0.0,0.629,0.0,0.0,0.0,Soil Dust
433082.5,8.115,0.0,0.0,3.632,0.0,0.0,0.0,0.027,0.0,0.0,0.0,5.106,0.0,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.598,0.0,0.0,0.0,27.618,2.849,0.0,0.0,0.0,0.629,0.0,0.0,0.0,Soil Dust
4330830,8.115,0.0,0.0,3.632,0.0,0.0,0.0,0.027,0.0,0.0,0.0,5.106,0.0,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.598,0.0,0.0,0.0,27.618,2.849,0.0,0.0,0.0,0.629,0.0,0.0,0.0,Soil Dust
43308C,8.115,0.0,0.0,3.632,0.0,0.0,0.0,0.027,0.0,0.0,0.0,5.106,0.0,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.598,0.0,0.0,0.0,27.618,2.849,0.0,0.0,0.0,0.629,0.0,0.0,0.0,Soil Dust
4330910,8.32,0.0,0.0,4.15,0.0,0.01,0.006,0.02,0.0,0.0,0.0,5.63,0.001,2.33,0.095,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,2.09,0.0,0.009,0.0,28.2,2.36,0.038,0.0,0.026,0.57,0.014,0.007,0.017,Soil Dust
433092.5,8.32,0.0,0.0,4.15,0.0,0.01,0.006,0.02,0.0,0.0,0.0,5.63,0.001,2.33,0.095,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,2.09,0.0,0.009,0.0,28.2,2.36,0.038,0.0,0.026,0.57,0.014,0.007,0.017,Soil Dust
4330930,8.32,0.0,0.0,4.15,0.0,0.01,0.006,0.02,0.0,0.0,0.0,5.63,0.001,2.33,0.095,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,2.09,0.0,0.009,0.0,28.2,2.36,0.038,0.0,0.026,0.57,0.014,0.007,0.017,Soil Dust
43309C,8.32,0.0,0.0,4.15,0.0,0.01,0.006,0.02,0.0,0.0,0.0,5.63,0.001,2.33,0.095,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,2.09,0.0,0.009,0.0,28.2,2.36,0.038,0.0,0.026,0.57,0.014,0.007,0.017,Soil Dust
4331,0.71,0.0027,0.0,10.7929,0.0,0.0152,0.0232,1.7562,2.7801,1.2522,0.0,1.2745,0.0749,0.2301,0.0473,0.0178,14.9813,0.0,7.5312,0.0,0.0143,3.2064,2.0344,0.0,4.8421,2.2761,0.041,0.0089,3.1154,3.4356,0.0544,41.3245,13.1136,0.0589,0.0018,0.2149,0.0392,Cement Manufacturing
4332,1.1872,0.0029,0.0,19.3254,0.0,0.0147,0.0216,0.9113,2.6484,0.8111,0.0,1.9954,0.0697,0.0403,0.0727,0.0452,7.1184,0.0,11.3812,0.0,1.1843,4.4759,3.1728,0.0,5.8899,2.5482,0.054,0.0049,6.1226,6.2346,0.0972,18.2246,8.9665,0.1758,0.0157,0.3859,0.0157,Cement Manufacturing
4333,0.7949,0.0,0.0,10.3251,0.0,0.0111,0.04,1.0392,2.2737,0.7794,0.0,1.1346,0.302,0.0311,0.0466,0.0289,4.6341,0.0,11.7817,0.0,1.7542,5.0582,2.9554,0.0,21.7537,2.0139,0.1954,0.0111,3.1464,2.4025,0.0533,37.6521,14.8281,0.1044,0.0089,0.1554,0.0067,Cement Manufacturing
4334,0.1343,0.0008,0.0,0.5034,0.0,0.0093,0.0413,15.2083,22.6222,1.3045,0.1212,0.8347,0.015,0.0231,0.0971,0.012,0.3945,0.0,74.2302,18.4436,10.5107,24.0175,12.4188,0.0,1.1961,8.8396,0.0022,0.0006,1.0588,2.1617,0.0042,0.6264,0.4155,0.0165,0.0,0.0597,0.0014,Industrial
4335,0.0283,0.0,0.0,0.0102,0.0,0.0069,0.0053,21.0451,17.0282,6.884,0.7398,0.0747,0.0036,0.1222,0.0095,0.002,0.5238,0.0,75.7467,18.872,13.3232,27.7194,12.2251,0.0,0.4353,3.607,0.0,0.0,0.0616,0.6806,0.0,0.4659,0.2706,0.0,0.0007,0.0092,0.0086,Industrial
4336,0.0407,0.0058,0.0,0.1445,0.0,0.0045,0.1729,15.381,10.9414,6.161,1.2388,1.3134,0.0129,0.4319,0.1019,0.0087,0.6348,0.0,78.9153,6.831,13.2351,46.9079,8.9812,0.0,0.3576,2.9602,0.0008,0.0,1.0152,0.645,0.0005,0.5176,0.2483,0.0239,0.0016,0.1172,0.0063,Industrial
4337,0.0586,0.0,0.0,0.3725,0.0,0.0003,0.017,4.4544,4.2391,0.6326,0.1282,0.3668,0.1251,0.0111,0.0267,0.0078,0.1147,0.0,93.4854,24.5531,35.5512,27.5301,5.3057,0.0,0.0645,0.5454,0.0005,0.0,0.4506,0.1463,0.0035,0.1501,0.0635,0.0087,0.0,0.0256,0.0644,Biomass Burning
4338,0.0235,0.0004,0.0,0.0988,0.0,0.0002,0.008,2.7897,3.5959,0.6294,0.1055,0.0437,0.0006,0.0131,0.0014,0.0006,0.0636,0.0,96.5676,21.7606,44.9379,23.391,4.9371,0.0006,0.0431,1.541,0.0,0.0,0.0893,0.0987,0.0007,0.1138,0.0824,0.0,0.0,0.012,0.0,Biomass Burning
