"","PROFILE_CODE","WEIGHT_PERCENT","UNCERTAINTY_PERCENT","SPECIES_NAME","SYMBOL","PROFILE_NAME","PROFILE_TYPE","TOTAL","REGION","CATEGORY_LEVEL_1_Generation_Mechanism","CATEGORY_LEVEL_2_Sector_Equipment","CATEGORY_LEVEL_3_.Fuel_Product"
"281196","8992",0.430695976,0.101767,"Ammonium","NH4+","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281197","8992",0.078439851,0.072102,"Zinc","Zn","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281198","8992",0.151427854,0.051402,"Phosphorus","P","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281200","8992",0.262745685,0.081687,"Nitrate","NO3-","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281201","8992",0.007621461,0.004793,"Nickel","Ni","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281202","8992",0.019137098,0.01756,"Magnesium","Mg","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281203","8992",0.025534675,0.011141,"Lead","Pb","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281204","8992",0.020472245,0.010741,"Chromium","Cr","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281205","8992",0.005177698,0.004761,"Sodium","Na","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281206","8992",0.306916779,0.213528,"Iron","Fe","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281302","95501",0.038596491,0.048245614,"Zinc","Zn","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281303","95501",0.05877193,0.048245614,"Magnesium ion","Mg+2","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281304","95501",1.578947368,0.789473684,"Ammonium","NH4+","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281305","95501",0.789473684,0.701754386,"Sodium ion","Na+","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281307","95501",4.649122807,2.192982456,"Potassium ion","K+","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281308","95501",0.719298246,0.631578947,"Calcium ion","Ca+2","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281310","95501",0.00254386,0.003245614,"Manganese","Mn","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281313","95501",0.009649123,0.013157895,"Chromium","Cr","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281314","95501",0.754385965,0.692982456,"Sulfate","SO4=","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281315","95501",0.192982456,0.096491228,"Nitrate","NO3-","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281317","95501",11.40350877,4.035087719,"Chloride ion","Cl-","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281318","95501",0.028947368,0.036842105,"Copper","Cu","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281319","95501",0.010526316,0.014035088,"Iron","Fe","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281320","95501",0.020175439,0.021929825,"Lead","Pb","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281321","95501",0.006929825,0.007631579,"Nickel","Ni","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281323","95501",0.004912281,0.002719298,"Potassium","K","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281324","95501",0.009649123,0.007894737,"Bromine","Br2","Agricultural Burning - Wheat Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Wheat Straw"
"281325","95502",0.188235294,0.129411765,"Magnesium ion","Mg+2","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
